"Gene.stable.ID","Gene.name"
"ENSMUSG00000103795","Gm37990"
"ENSMUSG00000103919","Gm21366"
"ENSMUSG00000103812","Gm33954"
"ENSMUSG00000104259","Gm37538"
"ENSMUSG00000102847","Gm34274"
"ENSMUSG00000103773","Gm34217"
"ENSMUSG00000104062","Gm37952"
"ENSMUSG00000102318","Gm37627"
"ENSMUSG00000104289","Gm37454"
"ENSMUSG00000102730","Gm38138"
"ENSMUSG00000102529","Gm29740"
"ENSMUSG00000103589","Gm37840"
"ENSMUSG00000102396","Gm37574"
"ENSMUSG00000104255","Gm37172"
"ENSMUSG00000102598","Gm35670"
"ENSMUSG00000103029","Gm37687"
"ENSMUSG00000102239","Gm38296"
"ENSMUSG00000103153","Gm38290"
"ENSMUSG00000103086","Gm38121"
"ENSMUSG00000103327","Gm36047"
"ENSMUSG00000104500","Gm36345"
"ENSMUSG00000103236","Gm37157"
"ENSMUSG00000102911","Gm38017"
"ENSMUSG00000103008","Gm36468"
"ENSMUSG00000103058","Gm21845"
"ENSMUSG00000093868","Gm20809"
"ENSMUSG00000102350","Gm37434"
"ENSMUSG00000103977","Gm37071"
"ENSMUSG00000102643","Gm37547"
"ENSMUSG00000103064","Gm36968"
"ENSMUSG00000103372","Gm37237"
"ENSMUSG00000102354","Gm38350"
"ENSMUSG00000102906","Gm20858"
"ENSMUSG00000103813","Gm31422"
"ENSMUSG00000104412","Gm37798"
"ENSMUSG00000104321","Gm37318"
"ENSMUSG00000103892","Gm31572"
"ENSMUSG00000102977","Gm37346"
"ENSMUSG00000102547","Gm38136"
"ENSMUSG00000103675","Gm37991"
"ENSMUSG00000103842","Gm37808"
"ENSMUSG00000103462","Gm32181"
"ENSMUSG00000101467","Gm28662"
"ENSMUSG00000101260","Gm28780"
"ENSMUSG00000101513","Gm28853"
"ENSMUSG00000101809","Gm28852"
"ENSMUSG00000099841","Gm28855"
"ENSMUSG00000101971","Gm28246"
"ENSMUSG00000101839","Gm28247"
"ENSMUSG00000102010","Gm28248"
"ENSMUSG00000101743","Gm28249"
